TIEMPO_EMPRESA,ANALFABETISMO,EDUCACION,GENERO,EDAD,SINDICADO,SEGUNDO_TRABAJO,HORAS_REMUNERADAS,HORAS_NO_REMUNERADAS,EXPERIENCIA,ln_INGRESOS,ING_H,ln_ING_H,INDIGENA,AFRO
5,0,18,0,35,0,0,48,2,11,14.914122846632385,15625,9.656627474604603,0,0
4,0,16,0,32,0,0,60,0,10,14.508657738524219,8333.333333333334,9.028018815182229,0,0
4,0,11,0,29,0,0,48,0,12,13.997832114758229,6250,8.740336742730447,0,0
6.833333333333333,0,16,0,32,0,0,48,1,10,13.997832114758229,6250,8.740336742730447,0,0
6.833333333333333,0,8,0,50,0,0,50,0,36,14.22097566607244,7500,8.922658299524402,0,0
0.08333333333333333,0,15,1,23,0,0,48,12,2,14.22097566607244,7812.5,8.963480294044658,0,0
25,0,18,1,52,1,0,45,25,28,14.845129975145433,15555.555555555555,9.652173124255222,0,0
2,0,14,1,23,0,0,48,7,3,13.71957878501095,4731.90625,8.46208341298317,0,0
12,0,11,1,49,0,0,50,14,32,13.122363377404328,2500,7.824046010856292,0,0
20,0,4,0,45,0,0,50,4,35,13.017002861746503,2250,7.718685495198466,0,0
0.08333333333333333,0,13,1,19,0,0,54,0,0,13.71957878501095,4206.138888888889,8.344300377326785,0,0
18,0,3,0,62,0,0,72,2,53,13.815510557964274,3472.222222222222,8.152550077828328,0,0
0.9166666666666666,0,16,1,39,0,0,48,25,17,14.77102200299171,13541.666666666666,9.513526630963929,0,0
12.333333333333334,0,18,0,42,0,0,48,12,18,14.648419680899378,11979.166666666666,9.390924308871597,0,0
2.6666666666666665,0,11,0,21,0,0,40,5,4,13.815510557964274,6250,8.740336742730447,0,0
0.3333333333333333,0,11,1,21,0,0,48,3,4,13.997832114758229,6250,8.740336742730447,0,0
0.25,0,13,1,23,0,0,48,5,4,13.71957878501095,4731.90625,8.46208341298317,0,0
0.8333333333333334,0,11,0,59,0,0,48,12,42,13.71957878501095,4731.90625,8.46208341298317,0,0
0.3333333333333333,0,11,0,20,0,0,28,6,3,13.304684934198283,5357.142857142857,8.586186062903188,0,0
16.666666666666668,0,11,0,33,0,0,48,0,16,14.914122846632385,15625,9.656627474604603,0,0
5.833333333333333,0,14,1,29,0,0,48,12,9,13.815510557964274,5208.333333333333,8.558015185936492,0,0
10,0,11,0,43,0,0,48,2,26,16.811242831518264,104166.66666666667,11.553747459490484,0,0
11.833333333333334,0,13,0,47,0,0,48,8,28,14.207552645740298,7708.333333333333,8.950057273712517,0,0
1.5,0,17,1,41,0,0,48,31,18,15.424948470398375,26041.666666666668,10.167453098370594,0,0
15,0,16,0,39,0,0,48,12,17,14.22097566607244,7812.5,8.963480294044658,0,0
15,0,16,1,41,0,0,48,15,19,14.22097566607244,7812.5,8.963480294044658,0,0
1,0,18,1,37,0,0,48,14,13,15.201804919084164,20833.333333333332,9.944309547056383,0,0
10,0,17,1,36,0,0,48,16,13,14.914122846632385,15625,9.656627474604603,0,0
15,0,11,0,44,0,0,48,12,27,13.9108207377686,5729.166666666667,8.653325365740818,0,0
2,0,14,1,33,0,0,48,14,13,14.914122846632385,15625,9.656627474604603,0,0
1,0,16,0,41,0,0,40,7,19,15.068273526459642,21875,9.993099711225815,0,0
0.9166666666666666,0,17,1,32,0,0,60,7,9,15.424948470398375,20833.333333333332,9.944309547056383,0,0
8.5,0,15,0,26,0,0,48,7,5,14.369395671190711,9062.5,9.11190029916293,0,0
0.4166666666666667,0,16,1,32,0,0,72,35,10,14.99231769421744,11263.888888888889,9.329357214081494,0,0
4,0,16,0,35,0,0,72,0,13,13.71957878501095,3154.6041666666665,8.056618304875004,0,0
18,0,16,1,56,0,0,48,21,34,14.978661367769956,16666.666666666668,9.721165995742174,0,0
0.16666666666666666,0,19,0,28,0,1,84,0,3,15.761420707019587,20833.333333333332,9.944309547056383,0,0
3,0,5,1,68,0,0,5,30,57,12.206072645530174,10000,9.210340371976184,0,0
5,0,11,0,58,0,0,48,7,41,14.403297222866392,9375,9.14580185083861,0,0
0.16666666666666666,0,15,1,21,0,1,17,7,0,13.017002861746503,6617.64705882353,8.797495156570395,0,0
15,0,18,1,41,0,0,48,0,17,15.201804919084164,20833.333333333332,9.944309547056383,0,0
5,0,13,0,20,0,0,99,1,1,14.73180128983843,6313.131313131313,8.750387078583948,0,0
0.16666666666666666,0,9,0,19,0,0,88,3,4,13.71957878501095,2581.0397727272725,7.855947609412853,0,0
2,0,11,0,28,0,0,48,0,11,13.71957878501095,4731.90625,8.46208341298317,0,0
5,0,7,0,66,0,0,48,0,53,13.997832114758229,6250,8.740336742730447,0,0
20,0,11,1,57,0,0,48,7,40,13.710150042306449,4687.5,8.452654670278667,0,0
2.3333333333333335,0,11,0,27,0,0,58,0,10,13.71957878501095,3916.060344827586,8.27284141334464,0,0
