"","ID","POBREZA","ANALFABETISMO","ETNIA","EDUCACION","GENERO","QUEHACERES_TIEMPO","AUTOCONSTRUCCION_TIEMPO","ROPA_TIEMPO","ANCIANOS_TIEMPO","NINYOS_TIEMPO","QUEHACERES_FUERA_TIEMPO","ANIMALES_TIEMPO","INGRESOS","EXTRAS_TIEMPO","SINDICADO","CAMBIO_TRABAJO","HORAS_SEG_TRABAJO","SEGUNDO_TRABAJO","HORAS_PRIM_TRABAJO","CONTRATO","TERMINO_CONTRATO","MODALIDAD_CONTRATO","TIEMPO_EMPRESA","HORAS_REMUNERADAS","HORAS_NO_REMUNERADAS"
"8046",8803,NA,1,6,16,1,0,0,0,0,0,0,0,2300000,0,2,2,0,2,40,1,1,2,24,40,0
"8047",8804,2,1,6,18,1,0,0,0,0,0,0,0,5e+06,0,2,2,0,2,40,1,1,2,204,40,0
"8048",8805,NA,1,6,19,2,15,0,0,0,0,0,0,5e+06,0,2,2,0,2,0,1,1,2,240,0,15
"8049",8806,2,1,6,11,1,7,0,0,0,7,0,0,4e+06,0,2,2,0,2,48,1,1,2,216,48,14
"8050",8807,NA,1,6,16,2,20,0,0,0,0,0,0,4e+06,0,1,2,0,2,40,1,1,2,408,40,20
"8051",8808,NA,1,6,16,1,0,0,0,0,0,0,0,1600000,0,2,1,0,2,36,1,2,2,84,36,0
"8052",8809,NA,1,6,13,2,0,0,0,0,15,0,0,1200000,0,2,2,0,2,40,1,1,2,144,40,15
"8053",8810,2,1,6,16,1,0,0,0,0,0,0,0,3e+06,0,2,2,0,2,60,2,NA,NA,180,60,0
"8054",8811,NA,1,6,14,2,10,0,0,0,0,0,0,2500000,0,2,2,0,2,40,2,NA,NA,180,40,10
"8055",8812,1,1,6,14,1,3,0,0,0,0,0,0,1e+06,0,2,2,0,2,0,1,2,2,48,0,3
"8056",8813,NA,1,6,11,2,10,0,0,6,0,0,0,1e+06,0,2,2,0,2,48,2,NA,NA,120,48,16
"8057",8814,NA,1,6,16,1,0,0,0,0,0,0,0,1500000,0,2,2,0,2,48,1,2,2,12,48,0
"8058",8815,1,1,6,14,2,15,0,0,0,0,0,0,1450000,0,2,2,0,2,48,1,1,2,24,48,15
"8059",8816,NA,1,6,16,1,8,0,0,0,0,0,0,1200000,0,2,1,0,2,32,2,NA,NA,72,32,8
"8060",8817,1,1,6,11,1,5,0,0,0,12,0,0,1200000,0,2,2,0,2,40,1,1,2,36,40,17
"8061",8818,NA,1,6,12,2,12,0,0,0,0,0,0,908526,0,2,1,0,2,40,1,2,2,6,40,12
"8062",8819,2,1,6,19,1,15,0,0,0,0,0,0,3800000,0,1,2,0,2,0,1,1,2,300,0,15
"8063",8820,NA,1,6,16,2,15,0,0,0,0,0,0,1800000,0,2,2,0,2,0,1,1,2,240,0,15
"8064",8821,1,1,6,11,2,10,0,0,0,10,0,0,1014980,0,2,2,0,2,48,1,1,2,24,48,20
"8065",8822,2,1,6,20,1,10,0,0,0,0,0,0,6e+06,0,1,2,0,2,0,1,1,2,336,0,10
"8066",8823,NA,1,6,16,2,20,0,0,0,0,0,0,2e+06,0,2,2,0,2,40,1,2,2,12,40,20
"8067",8824,2,1,6,19,1,15,0,0,0,0,0,0,4e+06,0,2,2,0,2,42,1,1,2,96,42,15
"8068",8825,NA,1,6,16,2,15,0,0,0,0,0,0,1400000,0,2,2,0,2,0,1,1,2,36,0,15
"8069",8826,2,1,6,19,1,10,0,0,0,0,0,0,4e+06,0,2,2,0,2,40,1,1,2,240,40,10
"8070",8827,2,1,5,13,2,0,0,0,0,14,0,0,1200000,0,2,2,0,2,40,1,2,2,36,40,14
"8071",8828,1,1,6,14,2,20,0,0,0,0,0,0,250000,0,2,1,0,2,20,2,NA,NA,3,20,20
"8072",8829,NA,1,6,11,1,0,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,2,2,1,48,0
"8073",8830,NA,1,6,16,1,0,0,0,0,0,0,0,8e+05,0,2,1,0,2,40,1,NA,1,1,40,0
"8074",8831,NA,1,6,16,2,0,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,1,2,12,48,0
"8075",8832,2,1,6,14,2,8,0,0,0,0,0,0,1250000,0,2,2,0,2,40,1,2,2,168,40,8
"8076",8833,NA,1,6,13,2,6,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,2,2,6,48,6
"8077",8834,2,1,5,11,1,0,0,0,0,0,0,0,1300000,0,2,2,0,2,40,1,1,2,180,40,0
"8078",8835,1,1,6,6,2,20,0,0,0,0,0,0,350000,0,2,2,0,2,30,1,NA,1,24,30,20
"8079",8836,NA,1,6,1,1,10,0,0,0,0,0,0,6e+05,0,2,2,0,2,48,2,NA,NA,36,48,10
"8080",8837,1,1,6,11,2,20,0,0,0,20,0,0,7e+05,0,2,2,0,2,48,1,NA,1,10,48,40
"8081",8838,2,1,5,11,1,10,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,1,2,120,48,10
"8082",8839,2,1,5,9,2,15,0,0,0,0,0,0,908526,0,2,2,0,2,40,1,2,2,84,40,15
"8083",8842,1,1,5,11,2,10,0,0,0,6,0,0,908526,0,2,2,0,2,48,1,1,2,24,48,16
"8084",8843,NA,1,5,11,1,0,0,0,0,0,0,0,9e+05,0,2,2,0,2,40,2,NA,NA,120,40,0
"8085",8844,NA,1,6,5,1,10,0,0,0,0,0,0,6e+05,0,2,2,0,2,48,2,NA,NA,480,48,10
"8086",8845,NA,1,6,11,1,15,0,0,0,0,0,0,9e+05,0,2,2,0,2,48,2,NA,NA,96,48,15
"8087",8846,NA,1,6,10,1,20,0,0,0,20,0,0,8e+05,0,2,2,0,2,48,2,NA,NA,180,48,40
"8088",8847,NA,1,6,8,2,20,0,0,0,20,0,0,550000,0,2,2,0,2,48,1,NA,1,3,48,40
"8089",8850,2,1,6,11,2,10,0,0,0,0,0,0,1708000,0,2,2,0,2,48,1,NA,1,60,48,10
"8090",8856,1,1,6,5,2,30,0,0,0,20,0,0,350000,0,2,2,0,2,20,2,NA,NA,5,20,50
"8091",8857,NA,1,6,13,1,14,0,0,0,0,0,0,9e+05,0,2,1,0,2,40,1,NA,1,12,40,14
"8092",8858,1,1,5,11,1,0,0,0,0,0,0,0,1e+06,0,2,2,0,2,48,2,NA,NA,48,48,0
"8093",8860,2,1,6,11,2,16,0,0,0,0,0,0,1300000,0,2,2,0,2,48,2,NA,NA,360,48,16
"8094",8861,1,1,5,10,2,14,0,0,0,16,0,0,4e+05,0,2,2,8,1,24,2,NA,NA,60,32,30
"8095",8862,NA,1,5,11,1,0,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,60,48,0
"8096",8863,NA,1,6,16,2,10,0,0,0,18,0,0,1450000,0,2,2,0,2,48,1,2,2,2,48,28
"8097",8864,1,1,6,5,2,10,0,0,0,0,0,0,7e+05,0,2,2,0,2,36,1,NA,1,180,36,10
"8098",8865,NA,1,5,14,1,6,0,0,0,0,0,0,1700000,0,2,2,0,2,40,1,2,2,14,40,6
"8099",8866,2,1,6,17,1,7,0,0,0,0,0,0,9300000,0,2,2,0,2,48,1,1,2,420,48,7
"8100",8867,NA,1,6,11,2,7,0,0,0,0,0,0,1700000,0,2,2,0,2,48,1,2,2,48,48,7
"8101",8868,2,1,6,17,2,7,0,0,0,0,0,0,5e+06,0,2,2,0,2,48,1,1,2,348,48,7
"8102",8869,2,1,6,16,2,7,0,0,0,0,0,0,4e+06,0,2,2,0,2,48,1,1,2,24,48,7
"8103",8870,NA,1,6,14,1,0,0,0,0,0,0,0,3500000,0,2,2,0,2,48,1,1,2,60,48,0
"8104",8871,2,1,6,16,1,0,0,0,0,0,0,0,4e+06,0,2,2,0,2,50,2,NA,NA,24,50,0
"8105",8872,NA,1,6,17,2,0,0,0,0,0,0,0,1.1e+07,0,2,2,0,2,48,1,1,2,240,48,0
"8106",8873,NA,1,6,16,1,0,0,0,0,0,0,0,5e+06,0,2,2,0,2,48,1,1,2,18,48,0
"8107",8874,2,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,2,0,2,60,1,NA,1,108,60,0
"8108",8875,NA,1,6,13,1,0,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,3,48,0
"8109",8877,NA,1,6,16,2,7,0,0,0,0,0,0,1500000,0,2,2,0,2,48,1,1,2,24,48,7
"8110",8878,2,1,6,16,2,0,0,0,0,0,0,0,6e+06,0,2,2,0,2,48,1,1,2,168,48,0
"8111",8879,2,1,6,14,1,3,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,1,2,168,48,3
"8112",8880,NA,1,6,11,2,20,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,2,2,12,48,20
"8113",8881,2,1,6,11,2,14,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,84,48,14
"8114",8884,2,1,6,16,2,3,0,0,0,0,0,0,3113000,0,2,2,0,2,48,1,1,2,10,48,3
"8115",8885,2,1,6,18,2,0,0,0,0,0,0,0,1800000,0,2,2,0,2,0,1,2,2,16,0,0
"8116",8887,2,1,6,9,2,15,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,180,48,15
"8117",8888,NA,1,6,11,1,0,0,0,0,0,0,0,1200000,0,2,2,0,2,48,1,NA,1,2,48,0
"8118",8889,2,1,6,5,1,0,0,0,0,0,0,0,4e+05,0,2,2,0,2,48,2,NA,NA,12,48,0
"8119",8890,2,1,6,14,2,30,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,18,48,30
