gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
female	right	brown	yes	yes	aug	29	1989	229	60	2011	yes	15	walk	74	yes	yes	no	yes	yes	6	0	110	28000	yes	Cooking	Davis	rear right	Fall08
female	right	brown	yes	yes	jan	26	1989	236	66	2011	yes	25	walk	450	yes	yes	no	yes	yes	8	0	95	50000	yes	swimming	Davis	front left	Fall08
female	right	green	yes	yes	jan	8	1988	248	59	2010	no	30	walk	700	yes	yes	no	yes	yes	6	2	90	25000	yes	cooking	Davis	front right	Fall08
female	right	blue	no	yes	may	4	1989	232	69	2011	yes	25	walk	800	yes	yes	no	yes	yes	9	0	80	20000	yes	cooking	Davis	rear left	Fall08
female	left	blue	yes	no	jan	7	1989	236	69	2011	yes	15	walk	350	yes	yes	no	yes	yes	8	0	90	22000	yes	tennis	Davis	front right	Fall08
male	right	brown	yes	yes	dec	26	1987	249	71	2010	no	20	walk	700	yes	yes	no	yes	yes	7	5	110	20000	yes	soccer	Davis	front left	Fall08
male	right	hazel	no	yes	may	2	1988	272	67.5	2010	no	15	skateboard	250	yes	yes	no	yes	yes	8.5	4	100	22000	yes	Triathlon	Davis	rear right	Fall08
female	right	brown	no	no	aug	2	1989	229	68	2011	yes	15	walk	118	yes	no	no	yes	yes	7	0	95	22000	no	performing	Davis	front right	Fall08
female	right	brown	yes	yes	oct	11	1988	239	68	2011	no	25	walk	75	yes	yes	yes	yes	yes	6	7	90	15000	yes	dance	Davis	rear left	Fall08
female	right	hazel	yes	yes	feb	2	1989	235	67.5	2011	yes	10	walk	375	yes	yes	no	yes	yes	8	4	90	20000	yes	going to the beach	Davis	rear left	Fall08
female	left	brown	yes	yes	feb	2	1988	247	65	2010	no	20	walk	200	yes	yes	yes	yes	yes	6	0	90	200000	no	snowboarding	Davis	front left	Fall08
male	right	brown	yes	no	feb	25	1987	259	67	2010	yes	15	walk	452	no	yes	yes	yes	yes	7	5	82	10000	yes	Basketball	Davis	front right	Fall08
female	right	brown	yes	yes	oct	7	1987	251	63	2009	no	20	walk	774	yes	yes	no	yes	yes	5	0	95	20000	no	running	Davis	front left	Fall08
female	left	blue	yes	yes	april	16	1989	233	69	2012	no	10	car (by yourself)	99	yes	no	no	yes	yes	8	0	99	23000	no	swimming	Davis	front left	Fall08
female	right	hazel	no	yes	oct	18	1989	227	63	2011	yes	20	walk	602	yes	no	no	yes	yes	8	0	90	39856	yes	swimming	Davis	front right	Fall08
male	right	brown	yes	yes	june	8	1989	231	68	2011	yes	12	walk	237	yes	no	no	yes	yes	6.5	0	90	6800	yes	Volleyball	Davis	front right	Fall08
female	right	brown	yes	yes	oct	8	1987	251	70	2010	no	20	walk	200	yes	no	no	yes	yes	6	2	100	25000	yes	singing	Davis	rear left	Fall08
male	ambidextrous	green	yes	no	sept	29	1987	252	72	2010	no	2	walk	125	yes	yes	no	yes	yes	7.5	2	100	40000	no	playing music	Davis	front left	Fall08
female	right	blue	yes	no	april	4	1988	245	73	2010	no	8	motorcycle	80	no	no	no	yes	yes	7	1	130	30000	yes	shopping	Davis	front right	Fall08
female	right	brown	yes	yes	sept	6	1987	252	61	2009	no	30	walk	500	yes	no	no	yes	yes	6	0	125	30000	yes	baking	Davis	rear left	Fall08
female	right	brown	no	yes	aug	19	1988	241	68	2010	yes	15	walk	400	yes	yes	no	yes	yes	7	2	90	50000	no	Dancing	Davis	front right	Fall08
female	right	brown	no	yes	jan	8	1990	224	66	2011	yes	20	walk	557	yes	yes	no	yes	yes	7	0	100	38000	yes	Dancing	Davis	front left	Fall08
female	right	brown	no	no	oct	1	1988	239	64	2010	no	4	walk	800	no	no	no	yes	yes	8	7	83	30000	yes	reading	Davis	front right	Fall08
female	right	brown	yes	yes	nov	18	1989	226	61.5	2011	yes	12	walk	500	yes	yes	no	yes	no	8	0	40	30000	no	watching Lakers basketball	Davis	rear left	Fall08
male	right	brown	yes	yes	sept	5	1987	252	72	2010	no	20	bus	300	yes	no	no	yes	yes	7	10	120	10000	no	drinking	Davis	front right	Fall08
male	right	brown	yes	yes	june	1	1989	231	76	2011	yes	10	walk	539	yes	yes	no	yes	yes	5	0	95	20000	yes	running	Davis	front left	Fall08
female	left	brown	yes	yes	mar	5	1988	246	64	2010	yes	15	walk	200	yes	yes	no	yes	yes	6	1	90	5000	yes	reading	Davis	front left	Fall08
female	right	brown	yes	yes	dec	30	1988	237	60	2011	yes	15	walk	600	yes	yes	no	yes	yes	6	0		30000	yes	reading	Davis	front right	Fall08
male	right	brown	yes	no	may	13	1988	244	68	2010	no	30	walk	450	yes	yes	no	yes	yes	7	0	90	12000	no	Cooking	Davis	front right	Fall08
male	right	brown	yes	yes	may	23	1989	232	69	2011	yes	15	walk	365	yes	yes	no	yes	yes	6	0	90	6000	yes	Playing Video Games	Davis	front left	Fall08
female	right	brown	yes	yes	july	2	1988	242	64	2010	yes	17	walk	200	yes	yes	no	yes	yes	6	1	75	10000	no	watching a movie	Davis	rear left	Fall08
female	right	brown	yes	yes	dec	30	1988	237	63	2011	yes	30	walk	235	yes	yes	yes	yes	yes	7	6	90	5000	yes	Movies	Davis	front right	Fall08
female	right	brown	yes	yes	feb	16	1989	235	67	2011	yes	18	walk	50	yes	yes	no	yes	yes	7	0	30	35000	yes	Baking	Davis	rear right	Fall08
male	left	brown	yes	yes	april	2	1989	233	75	2011	yes	25	walk	390	yes	yes	no	yes	yes	7	0	100	50000	yes	Swimming	Davis	front left	Fall08
female	right	brown	no	yes	april	29	1988	245	65	2010	no	20	walk	5000	yes	yes	no	yes	yes	7	0	100	2000	yes	tennis	Davis	rear left	Fall08
female	right	brown	yes	no	jan	20	1989	236	67	2011	yes	20	walk	500	yes	yes	no	yes	yes	8	0	85	5000	yes	yoga	Davis	front left	Fall08
female	left	brown	no	no	feb	14	1987	259	64	2009	no	25	car (by yourself)	400	yes	yes	no	yes	yes	5	1	103	15000	no	Dance	Ioudina	front left	Fall08
