"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"3512","M","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",55,64,66,73,318
"3513","F","Estrato 6","3 a 4","Dos","Si","MÁS DE 100 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",78,83,100,83,413
"3514","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",61,81,77,83,367
"3515","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",67,73,71,84,353
"3516","F","Estrato 6","3 a 4","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",62,66,51,76,295
"3517","M","Estrato 6","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",67,68,71,83,358
"3518","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",66,69,65,85,329
"3519","F","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",58,55,56,77,292
"3520","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",69,78,70,84,362
"3521","F","Estrato 6","5 a 6","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",50,52,46,67,255
"3522","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",49,66,46,75,256
"3523","F","Estrato 6","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",66,70,72,86,353
"3524","F","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",72,65,70,77,340
"3525","M","Estrato 6","3 a 4","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",69,74,71,85,356
"3526","M","Estrato 6","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",72,67,68,82,342
"3527","F","Estrato 6","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",67,74,69,85,348
"3528","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",73,74,74,90,370
"3529","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",58,69,63,74,312
"3530","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",72,72,76,83,363
"3531","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",73,71,75,86,369
"3532","F","Estrato 6","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",66,73,66,54,328
"3533","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",59,69,64,85,333
"3534","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",70,68,66,77,345
"3535","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",57,44,46,76,257
"3536","M","Estrato 6",NA,NA,"Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",74,82,67,78,369
"3537","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",81,79,77,84,389
"3538","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",61,72,67,83,345
"3539","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",65,72,66,67,338
"3540","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,68,73,84,351
"3541","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",64,65,63,72,322
"3542","M","Estrato 6","3 a 4","Tres","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",45,35,37,64,198
"3543","F","Estrato 6","7 a 8","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,69,74,87,340
"3544","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",53,65,61,82,308
"3545","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",68,80,77,85,378
"3546","M","Estrato 6","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",60,72,55,80,310
"3547","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",66,73,67,85,353
"3548","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MASCULINO","URBANO",65,77,74,82,371
"3549","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",67,69,62,78,336
"3550","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",58,71,67,81,335
"3551","M","Estrato 6","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",66,56,75,81,343
"3552","F","Estrato 6","5 a 6","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",74,78,75,86,382
"3553","M","Estrato 6","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",70,75,77,82,367
"3554","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",61,72,73,82,349
"3555","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",74,80,80,90,398
"3556","F","Estrato 6","5 a 6","Cinco","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",62,63,64,86,316
"3557","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,67,65,81,313
"3558","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",66,75,70,83,358
"3559","F","Estrato 6","5 a 6","Cuatro","No","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",58,60,41,64,270
"3560","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",76,71,71,76,365
"3561","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",82,74,75,86,415
"3562","F","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",76,69,72,82,365
"3563","F","Estrato 6","3 a 4","Cinco","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","FEMENINO","URBANO",63,74,69,83,340
"3564","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",69,80,76,100,381
"3565","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",55,68,64,83,315
"3566","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",74,100,100,88,438
"3567","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",77,80,73,85,388
"3568","F","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,63,56,70,299
"3569","M","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",72,74,69,82,374
"3570","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MASCULINO","URBANO",67,79,67,82,352
"3571","M","Estrato 6","5 a 6","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,70,69,86,354
"3572","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",60,66,65,89,334
"3573","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",62,69,62,82,327
"3574","F","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,79,100,88,420
"3575","F","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",74,73,100,86,406
"3576","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",69,76,75,80,367
"3577","F","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",63,62,76,70,335
"3578","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",70,71,66,84,350
"3579","F","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",70,67,69,84,362
"3580","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",69,76,76,74,364
"3581","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,75,75,90,368
"3582","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",73,63,68,81,342
"3583","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",75,75,76,84,366
"3584","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,56,53,61,290
"3585","F","Estrato 6","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",71,68,63,83,341
"3586","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",72,79,76,80,372
"3587","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,80,74,87,365
"3588","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",74,77,72,86,368
"3589","M","Estrato 6","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MASCULINO","URBANO",100,100,79,86,450
"3590","F","Estrato 6","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,69,67,87,346
"3591","M","Estrato 6","7 a 8","Cuatro","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",60,65,60,60,307
"3592","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,81,73,85,385
"3593","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",60,60,54,64,297
"3594","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",48,63,57,80,286
"3595","F","Estrato 6","1 a 2","Tres","Si","MÁS DE 100 LIBROS","No Navega Internet","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",34,23,35,46,163
"3596","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",72,70,64,79,342
"3597","F","Estrato 6","1 a 2","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,81,75,81,381
"3598","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,56,61,82,317
"3599","M","Estrato 6","1 a 2","Dos","Si","11 A 25 LIBROS","No Navega Internet","Más de 2 horas","NO OFICIAL","MIXTO","RURAL",35,39,38,65,195
"3600","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,67,67,86,347
"3601","M","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",71,72,72,84,355
"3602","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,64,69,85,352
"3603","M","Estrato 6","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",81,76,80,82,395
"3604","F","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",62,62,61,70,312
"3605","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",72,77,76,83,369
"3606","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",57,68,67,81,325
"3607","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",65,78,66,79,352
"3608","M","Estrato 6","5 a 6","Cuatro",NA,"26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",79,80,70,100,392
"3609","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,68,64,85,319
"3610","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,71,69,75,352
"3611","M","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",60,53,40,56,252
"3612","M","Estrato 6","5 a 6","Cinco","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",59,71,68,72,330
"3613","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",77,76,74,82,409
"3614","F","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",49,53,64,57,263
"3615","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",61,68,59,80,311
"3616","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",72,66,70,81,361
"3617","M","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","RURAL",66,73,71,74,352
"3618","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",82,68,77,87,390
"3619","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,78,70,81,354
"3620","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",64,64,63,78,323
"3621","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",67,78,64,88,350
"3622","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",74,81,74,86,387
"3623","M","Estrato 6","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MASCULINO","URBANO",73,82,71,85,371
"3624","F","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","RURAL",61,75,72,86,361
"3625","F","Estrato 6","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,73,73,82,355
"3626","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",75,76,79,90,393
"3627","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MASCULINO","URBANO",63,64,66,57,306
"3628","F","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",69,80,64,83,347
"3629","M","Estrato 6","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MASCULINO","URBANO",71,70,60,82,323
"3630","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",63,65,59,79,314
"3631","M","Estrato 6","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MASCULINO","URBANO",58,45,59,65,277
"3632","F","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",61,60,66,80,320
"3633","F","Estrato 6","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",78,72,72,84,365
"3634","F","Estrato 6","1 a 2","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","FEMENINO","URBANO",71,69,63,85,357
"3635","M","Estrato 6","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",69,56,65,80,311
"3636","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",57,71,72,78,342
"3637","M","Estrato 6","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",61,74,63,75,329
"3638","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",63,59,56,79,307
"3639","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",72,77,100,83,407
"3640","M","Estrato 6","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",74,82,79,88,396
"3641","F","Estrato 6","3 a 4","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",59,66,61,75,316
"3642","M","Estrato 6","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,71,71,84,354
"3643","F","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",66,51,63,86,317
"3644","M","Estrato 6","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",69,65,60,87,344
"3645","M","Estrato 6","3 a 4","Seis o mas","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",69,71,67,65,342
"3646","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",52,58,58,82,288
"3647","F","Estrato 6","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,74,68,87,363
"3648","F","Estrato 6","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,66,64,70,343
"3649","F","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS",NA,"No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",67,61,63,100,326
"3650","F","Estrato 6","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,65,68,80,348
"3651","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",67,67,66,72,329
"3652","M","Estrato 6","1 a 2","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",55,67,66,73,318
"3653","F","Estrato 6","3 a 4","Seis o mas","Si","0 A 10 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",71,62,69,85,332
"3654","F","Estrato 6","5 a 6","Cinco","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",74,74,66,86,365
"3655","M","Estrato 6","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",62,69,74,80,337
"3656","F","Estrato 6","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,54,56,87,298
"3657","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,82,75,82,380
"3658","M","Estrato 6","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",47,56,41,81,260
