"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"559","F","Estrato 3","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,66,57,56,297
"560","F","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,55,57,53,280
"561","M","Estrato 3","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",73,69,71,82,353
"562","M","Estrato 3","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",56,47,53,59,268
"563","M","Estrato 3","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",79,70,72,69,366
"564","F","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",58,52,47,49,252
"565","F","Estrato 3","1 a 2","Dos","Si","0 A 10 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",47,46,47,44,226
"566","M","Estrato 3","5 a 6","Cinco","Si","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,49,51,56,252
"567","F","Estrato 3","5 a 6","Tres","No","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",60,65,66,63,313
"568","F","Estrato 3","1 a 2","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","FEMENINO","URBANO",57,45,56,55,265
